,Gene,Sample,NormalizedCount,Subject.ID,Profile,origID,SULB,GATC.D3,Sex,IVSA,Reads,Reads.after.trim,Mapped.in.pairs,Mapped.to.total.rRNA
1139108,Grin1,ZR82NJ37,116.292213766227,β-D3-18N,PFC,364,,SALINE,M,S,33429610,18498354,0.7291,0.0607
1139109,Grin1,ZR37843K,167.39588501916,β-D3-19R,PFC,365,50 mg/Kg,0 MG/KG,M,F,23006226,18040688,0.7442,0.2022
1139110,Grin1,ZR86N2M8,124.588862585593,β-D3-20N,PFC,366,50 mg/Kg,25 MG/KG,M,F,28105484,21251774,0.7571,0.0659
1139111,Grin1,ZRMY6287,202.685920987539,β-D3-21R,PFC,367,50 mg/Kg,40 MG/KG,M,F,32168738,29648050,0.7643,0.0374
1139112,Grin1,ZR36RN37,174.003416778727,β-D3-23R,PFC,368,,F-O,M,F,28354346,21575302,0.7914,0.0354
1139113,Grin1,ZR28A8M6,197.492568016157,β-D3-24N,PFC,369,,SALINE,M,S,30064950,20928496,0.7766,0.073
1139114,Grin1,ZR23UU83,101.352545552716,β-D3-25R,PFC,370,50 mg/Kg,0 MG/KG,M,F,72427092,53428316,0.7457,0.0408
1139115,Grin1,ZR6E24Y3,141.927139181754,β-D3-26N,PFC,371,50 mg/Kg,25 MG/KG,M,F,58802510,43458636,0.7676,0.0634
1139116,Grin1,ZR72HL24,133.314420087532,β-D3-27R,PFC,372,50 mg/Kg,40 MG/KG,M,F,37684634,24119256,0.7899,0.1165
1139117,Grin1,ZR38A6Q6,140.21873092024,β-D3-28N,PFC,373,50 mg/Kg,70 MG/KG,M,F,84406496,53781286,0.7308,0.0926
1139118,Grin1,ZR7AK468,84.8509553093876,β-D3-30N,PFC,374,,SALINE,M,S,24720386,16958488,0.6944,0.041
1139119,Grin1,ZR8D86X8,153.049587490988,β-D3-31R,PFC,375,50 mg/Kg,0 MG/KG,M,F,31001214,18434438,0.6834,0.0573
1139120,Grin1,ZREK7677,81.5943258934482,β-D3-32N,PFC,376,50 mg/Kg,25 MG/KG,M,F,37293156,20640852,0.6446,0.038
1139121,Grin1,ZRQ6B428,113.755355413359,β-D3-33R,PFC,377,50 mg/Kg,40 MG/KG,M,F,25647098,17302162,0.6529,0.064
1139122,Grin1,ZRRU8376,83.1301766409102,β-D3-35R,PFC,378,,F-O,M,F,42848500,28249476,0.5716,0.0592
1139123,Grin1,ZR8W42G4,121.568709706244,β-D3-36N,PFC,379,,SALINE,M,S,20564844,15913170,0.6911,0.035
1139124,Grin1,ZR76GT72,95.5983470821989,β-D3-73R,PFC,380,50 mg/Kg,0 MG/KG,M,F,37744628,23409956,0.678,0.0423
1139125,Grin1,ZRKR6224,103.200793973675,β-D3-74N,PFC,381,50 mg/Kg,25 MG/KG,M,F,32589782,22516884,0.751,0.0296
1139126,Grin1,ZR8468Y4,230.510167881453,β-D3-75R,PFC,382,50 mg/Kg,40 MG/KG,M,F,19841946,16039474,0.793,0.0278
1139127,Grin1,ZR7FW783,187.733019434325,β-D3-76N,PFC,383,50 mg/Kg,70 MG/KG,M,F,23036572,13662686,0.6915,0.0635
1139128,Grin1,ZRVE2834,165.210606154873,β-D3-77R,PFC,384,,F-O,M,F,22286094,15617040,0.6021,0.0229
1139129,Grin1,ZRU7E644,218.117420688977,β-D3-78N,PFC,385,,SALINE,M,F,32701018,5210026,0.3717,0.023
1139130,Grin1,ZRP6D883,336.336264637702,β-D3-79R,PFC,386,,40 MG/KG w/o SULB,M,F,28847300,5445010,0.301,0.0051
1139131,Grin1,ZREU7383,169.414076661188,β-D3-80N,PFC,387,,40 MG/KG w/o SULB,M,F,19827794,10439788,0.6025,0.0215
1139132,Grin1,ZRQ6P323,103.885608008909,β-D3-81R,PFC,388,,40 MG/KG w/o SULB,M,F,20962724,17140604,0.6329,0.1391
1139133,Grin1,ZRGV2367,134.309433926805,β-D3-82N,PFC,389,,40 MG/KG w/o SULB,M,F,41291714,27168902,0.7482,0.0298
1139134,Grin1,ZR3A286F,219.627105939155,β-D3-83R,PFC,390,,40 MG/KG w/o SULB,M,F,44578976,19385514,0.8107,0.0183
1139135,Grin1,ZR4GC384,199.008102004598,β-D3-84N,PFC,391,,40 MG/KG w/o SULB,M,F,33754720,26472066,0.7605,0.0134
1139136,Grin1,ZR67HF36,196.649515428924,β-D3-91N,PFC,392,50 mg/Kg,70 MG/KG,M,F,13592560,9210412,0.6589,0.0289
1139137,Grin1,ZR7GU723,0.0,α-D3-37R,PFC,393,50 mg/Kg,0 MG/KG,F,F,55203388,1109004,0.012,0.0925
1139138,Grin1,ZRCC8843,53.2256538767534,α-D3-38N,PFC,394,50 mg/Kg,25 MG/KG,F,F,41617856,3892668,0.4029,0.0601
1139139,Grin1,ZR4EC684,273.259146535148,α-D3-39R,PFC,395,50 mg/Kg,40 MG/KG,F,F,42927484,664466,0.0274,0.0359
1139140,Grin1,ZRMC7227,0.0,α-D3-40N,PFC,396,50 mg/Kg,70 MG/KG,F,F,40188702,625526,0.0093,0.0955
